Div,StaffTotal2019,StudentTotal2019,StudentTotal2021
MSD,3921,1450,1577
SSD,1097,1234,1600
MPLS,1871,2511,2600
Hum,779,1054,1119
GLAM,61,0,0
ContEd,43,107,116
